"","TEAM","CONF","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","BLUEBLOOD"
"582","UTSA","CUSA",104,103.2,0.523,51.1,49.4,17.1,16.3,26.5,27.3,29.6,41.6,49.3,47.8,35.5,34.7,73,-7.1,0,0
"583","Western Kentucky","CUSA",113.8,100.7,0.8039,54.2,49.4,16.6,17.9,29,29.3,40,23.9,54.6,46.7,35.4,36,69.5,-1.2,0,0
"584","Charlotte","CUSA",95,107.7,0.1916,48.1,51.3,22,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,65.9,-15.4,0,0
"585","FIU","CUSA",101.4,105.1,0.3994,48.9,53.1,17.7,23.4,25.7,34.4,37.9,35.4,52.2,53.6,29.3,34.8,79.1,-7.9,0,0
"586","Florida Atlantic","CUSA",98.4,98.3,0.5042,47.9,48.2,20.7,18.1,29,25.4,28.6,31.4,47,48.7,32.6,31.6,68.7,-9,0,0
"587","Louisiana Tech","CUSA",103.3,102.1,0.5326,49.8,49.3,17,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33,67,-7,0,0
"588","Marshall","CUSA",105.5,106,0.486,51.9,52,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,75.7,-6.4,0,0
"589","Middle Tennessee","CUSA",96.8,103.8,0.3091,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,69.1,-13.3,0,0
"590","North Texas","CUSA",97.4,97.6,0.4944,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.9,-7.1,0,0
"591","Rice","CUSA",101.3,109.1,0.2984,50.1,51.6,18.9,14.9,26.6,24.4,38.5,30.6,48.1,51.5,35.3,34.5,71.7,-13,0,0
"592","Southern Miss","CUSA",106.8,101.2,0.649,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,66,-5.7,0,0
"593","UAB","CUSA",106.2,105.1,0.5307,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,66.4,-7.4,0,0
"594","UTEP","CUSA",89,100.1,0.205,45.7,49.4,22.8,19,26.7,26.7,34.7,32.9,44.3,46.6,32,36.2,69.3,-15.5,0,0
"595","UTSA","CUSA",104.7,101.6,0.5851,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,73.3,-8.8,0,0
"596","Western Kentucky","CUSA",103.9,99.5,0.6223,49.9,48.9,19.6,18.5,29.6,28.1,37.9,25.6,50.2,47,32.7,34.5,69.2,-5.5,0,0
"597","Cleveland St.","Horz",105.5,100.5,0.6382,51.7,48.8,19,21,31.9,30.6,31.1,43.7,48.9,45.6,37.9,36.2,61.4,-6.8,0,0
"598","Detroit","Horz",101.1,103.6,0.4304,49.7,52,19.3,21.2,29.4,29.8,32.4,48.3,46.3,53,37.9,33.7,68,-10.3,0,0
"599","Green Bay","Horz",102.6,93.3,0.7475,49.3,46,18.5,20.8,33.3,29.4,39.3,39.8,51.8,44,28.3,33.7,65.4,-1.1,0,0
