"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"2975",31,11,103.5,102.6,0.5231,49.6,52.2,19,20.1,26.7,30.1,31,29,48.5,50.5,34.2,36.2,66.4,-10.6,1,2022
"1341",28,11,104.8,111.8,0.3222,48.9,54.2,19,15.3,35,30.9,24.3,31.2,47.7,53.9,34.2,36.5,66.7,-12,0,2018
"4121",34,20,99.2,104.5,0.3536,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29,50.6,50.7,35.7,33.3,66.2,-10.2,1,2025
"1283",27,14,100.3,112.4,0.2132,49.5,55.6,20.4,20.4,26.8,37.6,35.8,33.5,49,51.7,33.5,41.7,71,-11.9,0,2017
"3011",28,11,105.1,108.5,0.4105,51.9,54.7,19.2,18.1,24.4,27.3,31.1,31.9,52.3,55,34.2,36,65.8,-9.4,1,2022
"1827",31,17,103.2,104.1,0.4745,51.9,45.3,17.9,17.5,31.4,33,31.2,29.8,50.7,44.5,35.6,31.7,64.3,-7.7,0,2013
"2184",32,24,113.4,97.9,0.8448,52.4,47.5,19,18,30.4,32.3,38.5,32.6,51,45.6,36.3,34.2,68.6,3.7,1,2017
"547",31,7,95,107.9,0.1885,46.7,50,17.6,16.6,23.1,32.9,32.3,37.7,44.2,49,34.1,35.4,68.4,-17.3,0,2016
"3745",32,16,103.5,107.9,0.3832,46.3,52.3,14.3,15.8,29.8,25.3,28.6,34.8,44.6,52,32.3,35.3,66.8,-11.7,1,2024
"834",31,17,101.5,114.1,0.2077,48.5,51.8,16.8,19.8,29.2,33.4,33.8,37.8,45.5,50.8,36.8,35.5,72.5,-12.8,0,2019
"1690",30,16,107.5,113.2,0.3552,55.1,51.8,18.5,15.9,32.3,29,39.5,43,55.9,49.2,35.6,37.6,70.6,-9.5,0,2014
"558",29,13,101.6,107.5,0.3434,50.5,52.3,16.1,18.3,20.3,31,34,35.6,47.5,51.7,37.5,35.8,74.1,-10.6,0,2017
"3139",29,9,96.7,113.9,0.1317,49.5,53.2,20.1,17.1,27.8,32.2,25,34.1,48.4,54.4,34.4,34,71.2,-16.4,1,2022
"1566",33,17,110.7,107.9,0.5731,51.2,50.1,18.9,16.4,31.6,34,38.2,34.6,49.5,49,36.7,34.9,67.3,-4.5,0,2014
"569",31,14,94.7,102.3,0.2925,42.6,49.7,18.1,17.6,32.4,24.2,36.2,37.9,43.7,48.4,26.7,34.8,69.5,-13.3,0,2017
"4007",34,19,109,105,0.6061,56.3,49.2,18.6,14.3,23.4,28,30,24,59.9,48.3,35.1,33.7,67.6,-6.5,1,2025
"1665",31,14,105.2,111.1,0.3496,50.6,53.9,19,19.2,31.2,31.6,45.7,43.8,45.7,51.7,39.7,38.5,67.1,-10.5,0,2014
"772",32,16,100.5,97.7,0.5825,51.8,47.3,20.2,17.9,27.5,28.6,37.6,30.4,53.5,46.8,32.2,32.1,71.6,-8.6,0,2019
"185",31,5,93,110.9,0.1163,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31,38.7,65.3,-20.9,0,2019
"486",30,22,103.2,105.7,0.4295,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,65.9,-6,0,2019
"1735",30,18,101.5,106.1,0.3745,48.8,49.5,17.2,15.8,27.7,28.8,38.7,35.4,48,49.6,33.5,32.8,62.8,-5.9,0,2014
"3006",27,19,100.4,103,0.4277,52.3,52,15.6,21,21.5,26.6,31.6,44.4,51.6,52.8,35.8,33.6,67.3,-7.3,1,2022
"495",31,18,111.2,106.9,0.6105,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,64.4,-5.5,0,2015
"1186",30,15,108.5,106.4,0.5569,50.4,50,18,15.7,33.9,28.4,32.8,35.3,49.6,47.7,34.4,35.3,63,-9.9,0,2017
"768",30,14,99.9,101,0.4672,51,49.9,18,18.1,22.4,26.4,30.9,30.1,48.4,50.7,37.2,32.4,72.7,-10.9,0,2018
"2139",36,28,116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,1,2013
"1557",27,4,94.5,122.4,0.0486,46.5,57.4,21.9,18.3,30.6,36.1,40.5,40.5,45.3,57.7,32.5,37.9,68.4,-19.3,0,2014
"3873",32,10,99.2,120.7,0.0948,50.1,53.6,16.5,12.8,23.2,28.1,25.9,30.6,48.7,50.7,35,38.7,65.7,-19.3,1,2024
"2911",34,25,108.4,98.9,0.7424,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,52.3,49.1,33.1,33.1,66,-2,1,2022
"1553",34,20,107.9,99,0.7275,48.9,45.9,20,16,35.3,29.8,54.1,43.4,47.5,44.8,34.9,31.9,64.5,-1.8,0,2014
"1801",31,15,102.1,102.5,0.4905,49.1,48.6,17,18.1,26.6,31.5,36,35.6,46.5,46.5,35.9,35.6,68.5,-9.3,0,2013
"689",31,13,98.4,105.5,0.3108,50.1,52.2,20.5,22.6,23.5,32.5,39.8,46.8,47.6,52.9,36.1,33.7,68.8,-12.6,0,2016
"2572",21,6,103.4,99.6,0.6075,46.7,53.2,19.8,22,32.2,31.3,27.9,39,47.2,52,30.5,36.8,74.5,-5.5,1,2021
"3114",27,11,95.4,108.5,0.1847,48.8,52.6,16.7,17.7,21.4,27.6,28.3,33.7,46.9,53.4,35.1,34.2,64.4,-14.1,1,2022
"1469",33,16,107,105.3,0.5462,52,53.9,18,20.9,24.9,29.5,35.7,35.7,48.4,54.9,37.9,34.8,71.9,-9.7,0,2019
"2314",34,27,112.8,95.7,0.8693,51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,1,2014
"152",30,3,92.3,113.3,0.0863,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,-20.9,0,2015
"773",32,22,107.5,102,0.6466,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50,35.8,34.6,71.5,-4.3,0,2019
"2957",32,12,100,97.2,0.5821,46.9,47.5,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,-8.8,1,2022
"3123",26,9,91.3,105.2,0.1642,44.1,47.4,18,16.2,22.1,31,36.5,37.9,44.1,48.8,29.3,29.8,68.9,-15.3,1,2022
"692",32,7,92.8,107.3,0.1578,44.9,49,21.1,16.9,32.8,31.3,34,35.5,46.2,46.4,28.2,35.7,66.8,-19.4,0,2016
"358",30,18,105.5,104.2,0.5345,53.4,49.5,18.3,18.7,28.4,24.9,36.8,45.3,51.8,49.5,37.3,33,66.1,-5.7,0,2016
"3076",27,11,95.2,103.8,0.2688,46.5,52,20.6,20.2,28.9,26,27.8,37.4,47.7,51.3,29.8,35.4,64.3,-12.1,1,2022
